X,Y
0,121.667
1,121.829
2,111.164
3,115.87
4,116.09
5,123.96
6,123.74
7,124.596
8,131.157
9,129.453
10,128.268
11,132.313
12,136.318
13,139.499
14,144.546
15,147.079
16,153.072
17,156.68
18,158.351
19,168.936
20,175.677
21,173.498
22,166.159
23,179.619
24,181.582
25,186.135
26,185.521
27,187.237
28,184.798
29,176.36
30,177.17
31,170.418
32,179.496
33,171.114
34,157.676
35,138.53
36,120.945
37,135.773
38,131.407
39,114.623
40,112.544
41,111.78
42,108.631
43,114.535
44,112.259
45,126.946
46,125.238
47,139.536
48,135.97
49,123.038
50,127.918
51,127.247
52,118.818
53,106.782
54,104.06
55,94.052
56,91.777
57,87.48
58,88.007
59,91.821
60,88.289
61,101.356
62,112.011
63,121.635
64,136.594
65,142.57
66,132.764
67,124.926
68,107.573
69,87
70,70.018
71,63.078
72,60.956
73,50.985
74,46.612
75,47.577
76,51.396
77,42.193
78,33.045
79,38.47
80,40.712
81,36.693
82,36.877
83,35.391
84,34.319
85,34.07
86,39.349
87,34.944
88,44.721
89,44.026
90,41.265
91,44.672
92,49.558
93,51.727
94,54.285
95,58.645
96,65.13
97,68.407
98,78.832
99,100.18
100,124.976
101,145.209
102,164.438
103,180.877
104,175.094
105,161.754
106,137.93
107,131.144
108,128.79
109,106.112
110,107.93
111,96.379
112,91.957
113,82.771
114,75.511
115,83.639
116,94.408
117,114.511
118,105.093
119,123.957
120,104.264
121,83.474
122,65.786
123,51.328
124,49.318
125,39.995
126,28.962
127,19.536
128,22.057
129,22.707
130,25.316
131,29.596
132,34.554
133,38.6
134,31.348
135,41.488
136,44.57
137,46.261
138,54.102
139,60.616
140,74.666
141,97.79
142,123.381
143,147.608
144,151.555
145,141.799
146,108.253
147,98.106
148,85.244
149,84.484
150,73.667
151,61.559
152,57.98
153,56.632
154,52.355
155,49.091
156,60.094
157,53.137
158,39.184
159,39.384
160,38.674
161,36.333
