X,Y
0,65
1,70.56
2,61.585
3,56.695
4,64.249
5,74.458
6,86.782
7,82.148
8,71.467
9,67.567
10,77.257
11,80.108
12,74.538
13,76.134
14,84.669
15,79.128
16,92.786
17,100.031
18,106.121
19,112.147
20,110.834
21,111.222
22,112.97
23,121.444
24,128.167
25,138.845
26,136.131
27,123.63
28,132.713
29,138.216
30,133.243
31,130.764
32,124.202
33,118.884
34,110.809
35,107.427
36,103.584
37,92.288
38,91.783
39,84.009
40,82.516
41,65.775
42,100.888
43,93.631
44,82.09
45,96.688
46,113.26
47,112.518
48,109.251
49,122.165
50,129.164
51,113.332
52,119.482
53,121.731
54,107.83
55,102.226
56,107.696
57,108.327
58,113.656
59,114.765
60,123.068
61,137.388
62,144.868
63,166.309
64,175.94
65,180.067
66,194.189
67,170.069
68,160.135
69,135.195
70,122.188
71,112.598
72,99.499
73,86.048
74,73.915
75,64.023
76,55.724
77,54.118
78,44.369
79,44.762
80,46.977
81,38.853
82,41.84
83,38.32
84,38.414
85,43.519
86,36.196
87,31.619
88,33.335
89,32.826
90,22.249
91,23.513
92,25.777
93,31.672
94,35.151
95,39.537
96,43.885
97,57.156
98,58.176
99,71.766
100,93.752
101,118.598
102,131.679
103,131.631
104,116.928
105,104.085
106,78.393
107,89.83
108,89.977
109,96.006
110,107.61
111,110.621
112,99.451
113,93.377
114,85.707
115,99.545
116,127.287
117,156.36
118,168.59
119,171.83
120,167.491
121,133.107
122,114.507
123,84.357
124,81.789
125,77.887
126,62.636
127,41.916
128,35.263
129,34.09
130,27.47
131,18.718
132,22.315
133,28.947
134,37.525
135,31.974
136,27.322
137,35.318
138,36.932
139,46.004
140,55.762
141,69.412
142,78.464
143,91.187
144,85.465
145,62.043
146,58.857
147,70.322
148,61.28
149,69.135
150,71.015
151,70.274
152,71.478
153,93.208
154,124.092
155,141.75
156,134.779
157,120.796
158,84.204
159,65.718
160,62.536
161,47.912
162,37.614
163,28.333
