X,Y
0,18.667
1,35.667
2,22.667
3,33
4,25
5,47.667
6,54.667
7,29
8,35
9,23.333
10,35.333
11,30.333
12,24.333
13,25.333
14,28.667
15,35
16,32.333
17,34
18,36
19,44.333
20,40.333
21,20.333
22,17.333
23,21
24,12
25,13
26,23
27,31.667
28,30.667
29,22
30,31
31,32
32,52
33,72.667
34,74.667
35,65.667
36,47.667
37,42.667
38,39.333
39,45.667
40,40.667
41,46.667
42,46.667
43,39.667
44,44.667
45,42
46,53.667
47,55.333
48,53.333
49,46.333
50,61.333
51,43
52,29.667
53,47.333
54,37.333
55,35.667
56,27
57,51.667
58,35
59,35.333
60,23.333
61,24.333
62,36
63,20
64,34
65,33.333
66,42.667
67,41.667
68,37.667
69,55.333
70,48.333
71,53
72,57.667
73,55.333
74,48.333
75,77.333
76,72.667
77,80.667
78,87
79,77
80,77
81,88.333
82,74
83,74.667
84,66.667
85,71.333
86,63.333
87,56.667
88,54.667
89,44
90,50
91,64.667
92,64.667
93,77.667
94,75
95,68.667
96,68.667
97,86.333
98,78.333
99,75
100,83.667
101,89
102,89
103,85
104,81
105,102
106,108
107,81.667
108,100
109,98.667
110,112.667
111,109.667
112,105.667
113,113
114,106.333
115,106.333
116,118.333
117,107.333
118,113.333
119,111
120,134
121,131.667
122,134.667
123,110.333
124,112.333
125,114
126,117.333
127,121
128,115
129,118
130,112
131,121.333
132,138.333
133,124
134,111.667
135,114.667
136,104.667
137,110
138,111.333
139,111.333
140,102
141,105
142,103.667
143,110.333
144,105.333
145,102.667
146,103.667
147,90
148,83
149,100
150,87.333
151,82.667
152,78.667
153,73.667
154,69.667
155,67.333
156,66.667
157,77.667
158,77.667
159,72.667
160,69.667
161,84.333
162,69.333
163,69.333
164,63.333
165,64.333
166,67
167,78.333
168,80.333
169,85
170,88.333
171,98.667
172,99.333
173,101.333
174,83.333
175,92.667
176,77
177,65.333
178,67.333
179,65.667
180,61.667
181,64.667
182,55.333
183,58
184,43.667
185,43.667
186,43.667
187,27.667
188,31.667
189,32.333
190,31.333
191,34.333
192,35.333
193,14
194,43
195,46
196,46.667
197,50.667
198,49.333
199,59.333
200,58.667
201,66.333
202,50
203,62.667
204,62
205,60.333
206,56.333
207,47
208,37
209,36.333
210,46.333
211,47.333
212,61.333
213,42
214,56
215,43
216,40.333
217,45
218,26.667
219,40.333
220,38.333
221,27.667
222,26.333
223,25.667
224,17.667
225,26.667
226,16.667
227,21.667
228,17.667
229,22.667
230,26.667
231,33.667
232,39.667
233,37
234,38.333
235,46.333
236,37.333
237,34.667
238,28.667
239,27.667
240,27
241,38.333
242,35.333
243,48.667
244,32.667
245,38.333
246,27
247,41
248,41
249,22
250,19
251,24
252,26
253,14.667
