X,Y
0,68
1,66.92
2,59.514
3,64.342
4,61.02
5,68.444
6,74.245
7,73.994
8,73.325
9,69.165
10,69.402
11,73.123
12,82.286
13,84.754
14,80.018
15,77.145
16,79.867
17,83.39
18,89.89
19,92.149
20,85.609
21,84.297
22,91.079
23,100.218
24,103.564
25,105.145
26,103.817
27,101.904
28,113.177
29,125.26
30,129.611
31,140.537
32,148.923
33,148.377
34,156.957
35,162.558
36,157.041
37,156.033
38,160.732
39,160.234
40,168.906
41,158.861
42,167.891
43,165.363
44,163.48
45,160.246
46,151.258
47,155.157
48,152.989
49,145.94
50,149.355
51,145.194
52,138.962
53,122.781
54,110.48
55,105.367
56,94.705
57,89.01
58,95.076
59,82.944
60,72.73
61,65.729
62,63.002
63,64.663
64,63.732
65,56.951
66,58.905
67,64.251
68,66.809
69,70.469
70,68.184
71,79.37
72,81.546
73,79.434
74,77.474
75,73.245
76,77.561
77,75.377
78,83.523
79,74.905
80,69.187
81,76.277
82,85.533
83,89.824
84,107.713
85,121.027
86,132.896
87,138.339
88,138.78
89,137.611
90,142.672
91,127.97
92,117.61
93,118.935
94,109.148
95,91.11
96,77.701
97,69.139
98,60.84
99,52.74
100,54.096
101,45.467
102,49.288
103,43.291
104,33.606
105,35.949
106,53.777
107,43.501
108,51.424
109,43.637
110,36.58
111,31.362
112,45.283
113,51.138
114,60.095
115,73.228
116,84.551
117,96.485
118,95.125
119,96.732
120,94.521
121,87.482
122,78.551
123,66.075
124,50.148
125,38.032
126,37.086
127,28.333
